<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230301,021500,23166.1800000,23174.0900000,23155.1200000,23158.4200000,7
GDAX.BTC-USD,1,20230301,021600,23158.0000000,23164.3700000,23147.3300000,23160.5100000,7
GDAX.BTC-USD,1,20230301,021700,23160.5600000,23178.7200000,23160.2100000,23177.6100000,5
GDAX.BTC-USD,1,20230301,021800,23177.6300000,23181.2900000,23169.8900000,23181.2900000,3
GDAX.BTC-USD,1,20230301,021900,23181.2700000,23203.0400000,23179.3500000,23199.6100000,11
GDAX.BTC-USD,1,20230301,022000,23201.5800000,23202.9100000,23188.0100000,23188.0100000,4
GDAX.BTC-USD,1,20230301,022100,23188.0100000,23191.2000000,23183.0400000,23188.3000000,2
GDAX.BTC-USD,1,20230301,022200,23188.9500000,23191.7200000,23184.5700000,23191.7200000,2
GDAX.BTC-USD,1,20230301,022300,23193.3700000,23199.3000000,23191.5500000,23193.7200000,2
GDAX.BTC-USD,1,20230301,022400,23193.7200000,23199.0500000,23190.5200000,23197.6100000,4
GDAX.BTC-USD,1,20230301,022500,23197.6200000,23197.6200000,23188.3400000,23190.0100000,4
GDAX.BTC-USD,1,20230301,022600,23190.0100000,23190.4100000,23177.0200000,23183.3800000,7
GDAX.BTC-USD,1,20230301,022700,23183.3700000,23189.1500000,23178.9900000,23182.4000000,7
GDAX.BTC-USD,1,20230301,022800,23182.4200000,23184.8500000,23179.0300000,23184.5100000,2
GDAX.BTC-USD,1,20230301,022900,23184.5900000,23186.6800000,23127.8800000,23129.2700000,46
GDAX.BTC-USD,1,20230301,023000,23129.9300000,23137.7400000,23125.9000000,23130.0100000,24
GDAX.BTC-USD,1,20230301,023100,23130.0000000,23150.1600000,23125.0000000,23128.9800000,21
GDAX.BTC-USD,1,20230301,023200,23128.6100000,23129.9300000,23110.8500000,23112.0500000,7
GDAX.BTC-USD,1,20230301,023300,23114.1500000,23117.1200000,23102.0900000,23106.3300000,9
GDAX.BTC-USD,1,20230301,023400,23106.5700000,23123.6700000,23106.5700000,23123.6700000,18
GDAX.BTC-USD,1,20230301,023500,23123.5700000,23125.1900000,23106.1700000,23106.2000000,8
GDAX.BTC-USD,1,20230301,023600,23107.3300000,23123.1400000,23107.3300000,23121.3100000,3
GDAX.BTC-USD,1,20230301,023700,23121.3600000,23159.9100000,23121.3600000,23157.2700000,6
GDAX.BTC-USD,1,20230301,023800,23157.2800000,23178.2000000,23153.2800000,23173.2400000,2
GDAX.BTC-USD,1,20230301,023900,23173.0100000,23173.9900000,23164.0100000,23170.7300000,3
GDAX.BTC-USD,1,20230301,024000,23171.9200000,23171.9200000,23155.3200000,23155.3200000,3
GDAX.BTC-USD,1,20230301,024100,23155.0800000,23155.3300000,23136.0600000,23144.9400000,4
GDAX.BTC-USD,1,20230301,024200,23144.9300000,23158.2100000,23144.9300000,23152.8700000,4
