<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,1,20230301,032200,1606.9900000,1607.8100000,1606.9900000,1607.6400000,27
GDAX.ETH-USD,1,20230301,032300,1607.7200000,1609.4900000,1607.5900000,1608.0900000,83
GDAX.ETH-USD,1,20230301,032400,1608.0300000,1608.2000000,1607.5300000,1607.5300000,17
GDAX.ETH-USD,1,20230301,032500,1607.4900000,1609.4400000,1607.4800000,1608.3600000,177
GDAX.ETH-USD,1,20230301,032600,1608.2600000,1608.6000000,1607.2300000,1607.2300000,41
GDAX.ETH-USD,1,20230301,032700,1607.0300000,1608.6500000,1607.0200000,1608.3900000,57
GDAX.ETH-USD,1,20230301,032800,1608.3800000,1608.4200000,1607.0200000,1607.0500000,93
GDAX.ETH-USD,1,20230301,032900,1607.0800000,1607.2000000,1606.3700000,1606.5700000,58
GDAX.ETH-USD,1,20230301,033000,1606.5700000,1607.0000000,1606.0700000,1606.3300000,52
GDAX.ETH-USD,1,20230301,033100,1606.3300000,1607.5300000,1606.2700000,1607.5000000,74
GDAX.ETH-USD,1,20230301,033200,1607.5000000,1608.9700000,1607.3500000,1608.7500000,50
GDAX.ETH-USD,1,20230301,033300,1608.7400000,1611.1900000,1608.6100000,1609.9100000,184
GDAX.ETH-USD,1,20230301,033400,1609.9200000,1611.1000000,1609.5300000,1610.0800000,97
GDAX.ETH-USD,1,20230301,033500,1610.0900000,1610.1000000,1608.9600000,1609.7700000,42
GDAX.ETH-USD,1,20230301,033600,1609.6500000,1610.7500000,1609.3400000,1609.4800000,66
GDAX.ETH-USD,1,20230301,033700,1609.5600000,1609.8400000,1608.9600000,1609.1600000,47
GDAX.ETH-USD,1,20230301,033800,1609.1200000,1609.9500000,1608.7700000,1609.5800000,29
GDAX.ETH-USD,1,20230301,033900,1609.5800000,1610.1300000,1609.4600000,1609.8500000,20
GDAX.ETH-USD,1,20230301,034000,1609.7500000,1609.7500000,1608.0600000,1609.2300000,179
GDAX.ETH-USD,1,20230301,034100,1609.1900000,1609.1900000,1608.7500000,1608.9100000,35
GDAX.ETH-USD,1,20230301,034200,1608.9100000,1609.0500000,1608.7600000,1608.9400000,9
GDAX.ETH-USD,1,20230301,034300,1608.9000000,1610.4900000,1608.9000000,1610.3500000,49
GDAX.ETH-USD,1,20230301,034400,1610.3500000,1610.3500000,1607.8200000,1607.8200000,68
GDAX.ETH-USD,1,20230301,034500,1607.8200000,1608.4500000,1607.1600000,1607.2200000,120
GDAX.ETH-USD,1,20230301,034600,1607.2200000,1607.5600000,1606.8700000,1607.5300000,45
GDAX.ETH-USD,1,20230301,034700,1607.5500000,1607.6300000,1606.6000000,1606.6500000,53
GDAX.ETH-USD,1,20230301,034800,1606.6500000,1607.1200000,1605.9900000,1606.0900000,26
GDAX.ETH-USD,1,20230301,034900,1606.0000000,1606.1900000,1605.3400000,1605.4100000,19
GDAX.ETH-USD,1,20230301,035000,1605.4000000,1605.5500000,1603.6900000,1603.6900000,59
GDAX.ETH-USD,1,20230301,035100,1603.6000000,1604.0700000,1601.9700000,1602.9700000,134
GDAX.ETH-USD,1,20230301,035200,1602.9700000,1604.3200000,1601.6000000,1601.9800000,167
GDAX.ETH-USD,1,20230301,035300,1601.7400000,1602.2100000,1600.0300000,1601.1400000,282
GDAX.ETH-USD,1,20230301,035400,1601.1600000,1601.5100000,1595.0000000,1598.7100000,828
GDAX.ETH-USD,1,20230301,035500,1598.6800000,1600.4100000,1597.4200000,1597.4200000,196
GDAX.ETH-USD,1,20230301,035600,1597.4200000,1598.4500000,1596.9000000,1597.5400000,307
GDAX.ETH-USD,1,20230301,035700,1597.8300000,1599.5800000,1597.3300000,1599.5800000,133
GDAX.ETH-USD,1,20230301,035800,1599.5800000,1601.9400000,1599.5800000,1601.6100000,209
GDAX.ETH-USD,1,20230301,035900,1601.5000000,1602.1800000,1600.6600000,1601.6400000,114
GDAX.ETH-USD,1,20230301,040000,1601.5200000,1601.8900000,1600.4300000,1601.8900000,112
GDAX.ETH-USD,1,20230301,040100,1601.9000000,1601.9400000,1599.0200000,1599.3500000,122
GDAX.ETH-USD,1,20230301,040200,1599.3000000,1603.8000000,1599.3000000,1603.5500000,123
GDAX.ETH-USD,1,20230301,040300,1603.4700000,1604.0600000,1603.1400000,1603.3700000,77
GDAX.ETH-USD,1,20230301,040400,1603.1000000,1604.2700000,1602.4000000,1604.2700000,573
GDAX.ETH-USD,1,20230301,040500,1604.1900000,1604.1900000,1603.2300000,1603.4100000,83
GDAX.ETH-USD,1,20230301,040600,1603.4000000,1604.1200000,1602.1000000,1604.0200000,39
GDAX.ETH-USD,1,20230301,040700,1604.1400000,1604.3000000,1603.7900000,1603.8000000,28
GDAX.ETH-USD,1,20230301,040800,1603.9800000,1605.4000000,1603.9800000,1604.8300000,38
GDAX.ETH-USD,1,20230301,040900,1604.7500000,1605.2500000,1603.8100000,1604.7900000,54
GDAX.ETH-USD,1,20230301,041000,1604.8900000,1604.9900000,1603.5300000,1603.8900000,48
GDAX.ETH-USD,1,20230301,041100,1603.8300000,1606.0500000,1603.7500000,1606.0400000,74
GDAX.ETH-USD,1,20230301,041200,1606.0300000,1606.2800000,1605.1800000,1606.0600000,39
GDAX.ETH-USD,1,20230301,041300,1605.9900000,1606.3100000,1605.5300000,1605.8800000,39
GDAX.ETH-USD,1,20230301,041400,1606.0000000,1606.8900000,1605.8500000,1606.7000000,63
GDAX.ETH-USD,1,20230301,041500,1606.8100000,1606.9900000,1606.1400000,1606.9900000,126
GDAX.ETH-USD,1,20230301,041600,1606.9000000,1607.3600000,1606.3700000,1606.6000000,70
GDAX.ETH-USD,1,20230301,041700,1606.5400000,1607.1400000,1605.8300000,1606.0600000,48
GDAX.ETH-USD,1,20230301,041800,1606.0600000,1606.4800000,1604.9800000,1606.3900000,31
GDAX.ETH-USD,1,20230301,041900,1606.4900000,1607.8000000,1606.4900000,1607.5700000,46
GDAX.ETH-USD,1,20230301,042000,1607.5300000,1607.7400000,1605.8600000,1605.9500000,86
GDAX.ETH-USD,1,20230301,042100,1606.0400000,1606.8200000,1606.0400000,1606.7300000,25
GDAX.ETH-USD,1,20230301,042200,1606.6800000,1607.4100000,1606.6800000,1607.3300000,40
GDAX.ETH-USD,1,20230301,042300,1607.3200000,1607.7000000,1606.3500000,1607.7000000,117
GDAX.ETH-USD,1,20230301,042400,1607.6600000,1608.4500000,1607.6600000,1607.7700000,74
GDAX.ETH-USD,1,20230301,042500,1607.7900000,1608.1500000,1607.5100000,1607.8000000,16
GDAX.ETH-USD,1,20230301,042600,1607.7100000,1607.7700000,1606.7500000,1606.7800000,59
GDAX.ETH-USD,1,20230301,042700,1606.7700000,1608.0500000,1606.7700000,1608.0500000,27
GDAX.ETH-USD,1,20230301,042800,1608.0500000,1608.0500000,1607.2300000,1607.3300000,44
GDAX.ETH-USD,1,20230301,042900,1607.3300000,1607.7900000,1607.3300000,1607.7400000,13
GDAX.ETH-USD,1,20230301,043000,1607.7400000,1609.0000000,1607.5100000,1609.0000000,84
